title,story_tri_part_text,acceptance_criteria,ac_readability_score,conversation,backlog_parent,convo_readability_score,autoscoring_on,archive_indicator,readiness_quality_score,story_points,user_story_status,User_story_type,ar_user,owner,created_by,created_dt,updated_dt,updated_by,organization_name,attachments
None,,,0,,None,0,False,False,0,None,None,None,None,None,jitendra,2020-07-11 11:09:07.596229+00:00,2020-07-11 11:09:07.596219+00:00,jitendra,digimomk,
Enroll Partner,As a Partner Manager I want to enroll a qualified partner,,0,,Mmasters API Pilot (example),0,False,False,53,None,Pending,None,None,jitendra,jitendra,2020-07-11 11:09:09.052777+00:00,2020-07-11 11:09:09.052772+00:00,jitendra,digimomk,
Disenroll Partner,As a proxy-test-partner-user I want to display so that I can recieve an audit,subject,36,subject,Mmasters API Pilot (example),36,False,False,70,None,Pending,None,None,jitendra,jitendra,2020-07-11 11:09:09.921597+00:00,2020-07-11 11:09:09.921591+00:00,jitendra,digimomk,
Disenroll Partner-1,As a Eagle I want to glide so that I can manage partners,testing,36,,Mmasters API Pilot (example),0,False,False,88,None,None,None,None,jitendra,jitendra,2020-07-11 11:09:10.326207+00:00,2020-07-11 11:09:10.326201+00:00,jitendra,digimomk,
Disenroll Partner-2,As a Partner Manager I require disenrollment so that I can manage partners,,0,,Mmasters API Pilot (example),0,False,False,68,None,None,None,None,jitendra,jitendra,2020-07-11 11:09:10.355313+00:00,2020-07-11 11:09:10.355308+00:00,jitendra,digimomk,
Submit Rpt,As a proxy-test-partner-user I want to select a Type1 report so that I can send it,,0,,Mmasters API Pilot (example),0,False,False,65,None,Pending,None,None,jitendra,jitendra,2020-07-11 11:09:10.384510+00:00,2020-07-11 11:09:10.384505+00:00,jitendra,digimomk,
Submit Rpt -1,As a proxy-test-partner-user I want to display available Type1 reports so that I can select which to review before sending,,0,,Mmasters API Pilot (example),0,False,False,60,None,None,None,None,jitendra,jitendra,2020-07-11 11:09:10.413137+00:00,2020-07-11 11:09:10.413132+00:00,jitendra,digimomk,
Submit Rpt -2,As a proxy-test-partner-user I want to review all sent Type1 reports for a custom time period so that I can support an audit,,0,,Mmasters API Pilot (example),0,False,False,60,None,Pending,None,None,jitendra,jitendra,2020-07-11 11:09:10.442316+00:00,2020-07-11 11:09:10.442310+00:00,jitendra,digimomk,
Submit Rpt -3,As a proxy-test-partner-user I want to review all sent Type1 reports for a custom time period so that I can receive an audit,,0,,Mmasters API Pilot (example),0,False,False,60,None,None,None,None,jitendra,jitendra,2020-07-11 11:09:10.470981+00:00,2020-07-11 11:09:10.470976+00:00,jitendra,digimomk,
Bird takes flight,Bird,,0,,Backlog One for P1 (example),0,False,False,15,None,Pending,None,None,jitendra,jitendra,2020-07-11 11:09:10.499985+00:00,2020-07-11 11:09:10.499980+00:00,jitendra,digimomk,
Enroll Partner-1,As a Partner Manager I want to enroll a qualified partner so that I can access new FedReserve reporting screens,,0,,Mmasters API Pilot (example),0,False,False,63,None,Pending,None,None,jitendra,jitendra,2020-07-11 11:09:10.533133+00:00,2020-07-11 11:09:10.533127+00:00,jitendra,digimomk,
Bird takes flight-1,As a Bird takes flight,,0,,Backlog One for P1 (example),0,False,False,30,None,None,None,None,jitendra,jitendra,2020-07-11 11:09:10.561643+00:00,2020-07-11 11:09:10.561637+00:00,jitendra,digimomk,
Bird takes flight-2,As a Bird I want to flap my wings,,0,,Backlog One for P1 (example),0,False,False,45,None,None,None,None,jitendra,jitendra,2020-07-11 11:09:10.590173+00:00,2020-07-11 11:09:10.590167+00:00,jitendra,digimomk,
Bird takes flight-3,As a Bird I want to flap my wings so that I can fly,,0,,Backlog One for P1 (example),0,False,False,55,None,None,None,None,jitendra,jitendra,2020-07-11 11:09:10.618811+00:00,2020-07-11 11:09:10.618805+00:00,jitendra,digimomk,
Bird takes flight-5,As a Bird I want to flap my wings so that I can fly and beyond that perform flips and dives and flock together with other  birds,,0,,Backlog One for P1 (example),0,False,False,50,None,Pending,None,None,jitendra,jitendra,2020-07-11 11:09:10.648084+00:00,2020-07-11 11:09:10.648079+00:00,jitendra,digimomk,
Eagle Soars,As an Eagle,,0,,Backlog for P2 (example),0,False,False,40,None,Pending,None,None,jitendra,jitendra,2020-07-11 11:09:10.677215+00:00,2020-07-11 11:09:10.677210+00:00,jitendra,digimomk,
Eagle Soars-1,As an Eagle I want to glide,,0,,Backlog for P2 (example),0,False,False,65,None,Pending,None,None,jitendra,jitendra,2020-07-11 11:09:10.706152+00:00,2020-07-11 11:09:10.706146+00:00,jitendra,digimomk,
Eagle Soars-2,As an Eagle I need to glide so that I can soar,,0,,Backlog for P2 (example),0,False,False,80,None,None,None,None,jitendra,jitendra,2020-07-11 11:09:10.734817+00:00,2020-07-11 11:09:10.734812+00:00,jitendra,digimomk,
Eagle Soars-3,As an Eagle I want to glide so that I can soar and survey the lakes and mountains,,0,,Backlog for P2 (example),0,False,False,75,None,None,None,None,jitendra,jitendra,2020-07-11 11:09:10.763523+00:00,2020-07-11 11:09:10.763517+00:00,jitendra,digimomk,
Bird takes flight-4,As a Bird I want to flap my wings so that I can fly and beyond that perform flips and dives,this is a statement that should receive a high readibility score,49,this is a statement that should receive a high readibility score,Backlog One for P1 (example),49,False,False,50,None,None,None,None,jitendra,jitendra,2020-07-11 11:09:11.589031+00:00,2020-07-11 11:09:11.589024+00:00,jitendra,digimomk,
