IterationName,owner,StartDate,EndDate,Description,Product,Backlog,UserStory,Team,IterationScore,IterationSize,create_by,create_dt,update_by,update_dt,IterationId,organization_name
Iteration 1 for Product P1,Tony (root user 1 DM) Timbol,2020-02-03,2020-02-14,An iteration (sprint) is a time interval or timebox that an agile team uses to perform software development work.,None,None,,FlexTeam (example),0,0,Tony (root user 1 DM) Timbol,2020-07-17 12:00:55.907849+00:00,Tony (root user 1 DM) Timbol,2020-07-17 12:00:55.907862+00:00,AR_ITER_441,1957
Iteration 2 for Product P1,Tony (root user 1 DM) Timbol,2020-02-17,2020-02-28,This is an example iteration for training purposes,None,Backlog for P2 (example),,Team-T1 (example),0,0,Tony (root user 1 DM) Timbol,2020-07-17 12:00:55.935334+00:00,Tony (root user 1 DM) Timbol,2020-07-17 12:00:55.935345+00:00,AR_ITER_442,1957
Sprint 1 for Product P2,Tony (root user 1 DM) Timbol,2020-03-02,2020-03-13,This is an example iteration for training purposes,Product-P2 (example),Backlog for P2 (example),Eagle Soars|Eagle Soars-1|Eagle Soars-2,None,61.666666666666664,0,Tony (root user 1 DM) Timbol,2020-07-17 12:00:55.962180+00:00,Tony (root user 1 DM) Timbol,2020-07-17 12:00:55.962190+00:00,AR_ITER_443,1957
Sprint 2 for Product P2,Tony (root user 1 DM) Timbol,2020-03-16,2020-03-27,This is an example iteration for training purposes,Product-P2 (example),None,,None,0,0,Tony (root user 1 DM) Timbol,2020-07-17 12:00:55.989119+00:00,Tony (root user 1 DM) Timbol,2020-07-17 12:00:55.989130+00:00,AR_ITER_444,1957
Iteration 1 for BestEverM,Tony (root user 1 DM) Timbol,2020-03-02,2020-03-13,This is an example iteration for training purposes,BestEverMortgage 2020 Enhancements (example),None,,None,0,0,Tony (root user 1 DM) Timbol,2020-07-17 12:00:56.015937+00:00,Tony (root user 1 DM) Timbol,2020-07-17 12:00:56.015948+00:00,AR_ITER_445,1957
Iteration 2 for BestEverM,Tony (root user 1 DM) Timbol,2020-03-16,2020-03-27,This is an example iteration for training purposes,BestEverMortgage 2020 Enhancements (example),None,,None,0,0,Tony (root user 1 DM) Timbol,2020-07-17 12:00:56.042813+00:00,Tony (root user 1 DM) Timbol,2020-07-17 12:00:56.042825+00:00,AR_ITER_446,1957
Iteration 1 for API,Tony (root user 1 DM) Timbol,2020-03-16,2020-03-27,This is an example iteration for training purposes,Product-P1 (example),FlexTeam BL 1 (example),,None,0,0,Tony (root user 1 DM) Timbol,2020-07-17 12:00:56.069792+00:00,Tony (root user 1 DM) Timbol,2020-07-17 12:00:56.069804+00:00,AR_ITER_447,1957
Iteration 2 for API,Tony (root user 1 DM) Timbol,2020-03-30,2020-04-10,This is an example iteration for training purposes,Product-P2 (example),Backlog for P2 (example),,None,0,0,Tony (root user 1 DM) Timbol,2020-07-17 12:00:56.096631+00:00,Tony (root user 1 DM) Timbol,2020-07-17 12:00:56.096643+00:00,AR_ITER_448,1957
Feb Cycle (1) for BestEverM,Tony (root user 1 DM) Timbol,2020-02-01,2020-02-28,For a Kanban Team a Cycle is a proxy iteration for tracking and organization purposes,None,None,,None,0,0,Tony (root user 1 DM) Timbol,2020-07-17 12:00:56.123309+00:00,Tony (root user 1 DM) Timbol,2020-07-17 12:00:56.123321+00:00,AR_ITER_449,1957
Mar Cycle (2) for BestEverM,Tony (root user 1 DM) Timbol,2020-03-01,2020-03-31,For a Kanban Team a Cycle is a proxy iteration for tracking and organization purposes,None,None,,None,0,0,Tony (root user 1 DM) Timbol,2020-07-17 12:00:56.151329+00:00,Tony (root user 1 DM) Timbol,2020-07-17 12:00:56.151345+00:00,AR_ITER_450,1957
