title,story_tri_part_text,acceptance_criteria,ac_readability_score,conversation,backlog_parent,convo_readability_score,autoscoring_on,archive_indicator,readiness_quality_score,story_points,user_story_status,User_story_type,ar_user,owner,created_by,created_dt,updated_dt,updated_by,organization_name,attachments
None,,,0,,None,0,False,False,0,None,None,None,None,None,deepak,2020-05-01 12:27:51.449174+00:00,2020-05-01 12:27:51.449161+00:00,deepak,Deepak Digimonk DSP,
Enroll Partner,As a Partner Manager I want to enroll a qualified partner,,0,,Mmasters API Pilot (example),0,False,False,53,None,None,None,None,deepak,deepak,2020-05-01 12:27:52.852132+00:00,2020-05-01 12:27:52.852127+00:00,deepak,Deepak Digimonk DSP,
Disenroll Partner,As a proxy-test-partner-user I want to display so that I can recieve an audit,subject,36,subject,Mmasters API Pilot (example),36,False,False,70,None,None,None,None,deepak,deepak,2020-05-01 12:27:53.719734+00:00,2020-05-01 12:27:53.719727+00:00,deepak,Deepak Digimonk DSP,
Disenroll Partner-1,As a Eagle I want to glide so that I can manage partners,testing,36,,Mmasters API Pilot (example),0,False,False,88,None,None,None,None,deepak,deepak,2020-05-01 12:27:54.172156+00:00,2020-05-01 12:27:54.172149+00:00,deepak,Deepak Digimonk DSP,
Disenroll Partner-2,As a Partner Manager I require disenrollment so that I can manage partners,,0,,Mmasters API Pilot (example),0,False,False,68,None,None,None,None,deepak,deepak,2020-05-01 12:27:54.198106+00:00,2020-05-01 12:27:54.198101+00:00,deepak,Deepak Digimonk DSP,
Submit Rpt,As a proxy-test-partner-user I want to select a Type1 report so that I can send it,,0,,Mmasters API Pilot (example),0,False,False,65,None,None,None,None,deepak,deepak,2020-05-01 12:27:54.222054+00:00,2020-05-01 12:27:54.222049+00:00,deepak,Deepak Digimonk DSP,
Submit Rpt -1,As a proxy-test-partner-user I want to display available Type1 reports so that I can select which to review before sending,,0,,Mmasters API Pilot (example),0,False,False,60,None,None,None,None,deepak,deepak,2020-05-01 12:27:54.250877+00:00,2020-05-01 12:27:54.250872+00:00,deepak,Deepak Digimonk DSP,
Submit Rpt -2,As a proxy-test-partner-user I want to review all sent Type1 reports for a custom time period so that I can support an audit,,0,,Mmasters API Pilot (example),0,False,False,60,None,None,None,None,deepak,deepak,2020-05-01 12:27:54.275730+00:00,2020-05-01 12:27:54.275724+00:00,deepak,Deepak Digimonk DSP,
Submit Rpt -3,As a proxy-test-partner-user I want to review all sent Type1 reports for a custom time period so that I can receive an audit,,0,,Mmasters API Pilot (example),0,False,False,60,None,None,None,None,deepak,deepak,2020-05-01 12:27:54.300569+00:00,2020-05-01 12:27:54.300563+00:00,deepak,Deepak Digimonk DSP,
Bird takes flight,Bird,,0,,Backlog One for P1 (example),0,False,False,15,None,None,None,None,deepak,deepak,2020-05-01 12:27:54.325369+00:00,2020-05-01 12:27:54.325364+00:00,deepak,Deepak Digimonk DSP,
Bird takes flight-1,As a Bird takes flight,,0,,Backlog One for P1 (example),0,False,False,30,None,None,None,None,deepak,deepak,2020-05-01 12:27:54.379102+00:00,2020-05-01 12:27:54.379097+00:00,deepak,Deepak Digimonk DSP,
Bird takes flight-2,As a Bird I want to flap my wings,,0,,Backlog One for P1 (example),0,False,False,45,None,None,None,None,deepak,deepak,2020-05-01 12:27:54.403952+00:00,2020-05-01 12:27:54.403946+00:00,deepak,Deepak Digimonk DSP,
Bird takes flight-3,As a Bird I want to flap my wings so that I can fly,,0,,Backlog One for P1 (example),0,False,False,55,None,None,None,None,deepak,deepak,2020-05-01 12:27:54.428835+00:00,2020-05-01 12:27:54.428829+00:00,deepak,Deepak Digimonk DSP,
Bird takes flight-5,As a Bird I want to flap my wings so that I can fly and beyond that perform flips and dives and flock together with other  birds,,0,,Backlog One for P1 (example),0,False,False,50,None,None,None,None,deepak,deepak,2020-05-01 12:27:54.453722+00:00,2020-05-01 12:27:54.453717+00:00,deepak,Deepak Digimonk DSP,
Eagle Soars,As an Eagle,,0,,Backlog for P2 (example),0,False,False,40,None,None,None,None,deepak,deepak,2020-05-01 12:27:54.478638+00:00,2020-05-01 12:27:54.478632+00:00,deepak,Deepak Digimonk DSP,
Eagle Soars-1,As an Eagle I want to glide,,0,,Backlog for P2 (example),0,False,False,65,None,None,None,None,deepak,deepak,2020-05-01 12:27:54.503812+00:00,2020-05-01 12:27:54.503807+00:00,deepak,Deepak Digimonk DSP,
Eagle Soars-2,As an Eagle I need to glide so that I can soar,,0,,Backlog for P2 (example),0,False,False,80,None,None,None,None,deepak,deepak,2020-05-01 12:27:54.528845+00:00,2020-05-01 12:27:54.528840+00:00,deepak,Deepak Digimonk DSP,
Eagle Soars-3,As an Eagle I want to glide so that I can soar and survey the lakes and mountains,,0,,Backlog for P2 (example),0,False,False,75,None,None,None,None,deepak,deepak,2020-05-01 12:27:54.553684+00:00,2020-05-01 12:27:54.553679+00:00,deepak,Deepak Digimonk DSP,
Bird takes flight-4,As a Bird I want to flap my wings so that I can fly and beyond that perform flips and dives,this is a statement that should receive a high readibility score,49,this is a statement that should receive a high readibility score,Backlog One for P1 (example),49,False,False,50,None,None,None,None,deepak,deepak,2020-05-01 12:27:55.372285+00:00,2020-05-01 12:27:55.372278+00:00,deepak,Deepak Digimonk DSP,
None_test,,,0,,None,0,False,False,15,None,None,None,None,deepak,deepak,2020-07-03 05:20:26.301466+00:00,2020-07-03 05:20:26.301460+00:00,deepak,Deepak Digimonk DSP,
Enroll Partner_test,,,0,,None,0,False,False,15,None,None,None,None,deepak,deepak,2020-07-03 05:20:26.324328+00:00,2020-07-03 05:20:26.324323+00:00,deepak,Deepak Digimonk DSP,
Disenroll Partner_test,,,0,,None,0,False,False,15,None,None,None,None,deepak,deepak,2020-07-03 05:20:26.346940+00:00,2020-07-03 05:20:26.346935+00:00,deepak,Deepak Digimonk DSP,
Disenroll Partner-1_test,,,0,,None,0,False,False,15,None,None,None,None,deepak,deepak,2020-07-03 05:20:26.369585+00:00,2020-07-03 05:20:26.369580+00:00,deepak,Deepak Digimonk DSP,
Disenroll Partner-2_test,,,0,,None,0,False,False,15,None,None,None,None,deepak,deepak,2020-07-03 05:20:26.392035+00:00,2020-07-03 05:20:26.392029+00:00,deepak,Deepak Digimonk DSP,
Submit Rpt_test,,,0,,None,0,False,False,15,None,None,None,None,deepak,deepak,2020-07-03 05:20:26.414435+00:00,2020-07-03 05:20:26.414429+00:00,deepak,Deepak Digimonk DSP,
Submit Rpt -1_test,,,0,,None,0,False,False,15,None,None,None,None,deepak,deepak,2020-07-03 05:20:26.436991+00:00,2020-07-03 05:20:26.436986+00:00,deepak,Deepak Digimonk DSP,
Submit Rpt -2_test,,,0,,None,0,False,False,15,None,None,None,None,deepak,deepak,2020-07-03 05:20:26.459397+00:00,2020-07-03 05:20:26.459392+00:00,deepak,Deepak Digimonk DSP,
Submit Rpt -3_test,,,0,,None,0,False,False,15,None,None,None,None,deepak,deepak,2020-07-03 05:20:26.481815+00:00,2020-07-03 05:20:26.481810+00:00,deepak,Deepak Digimonk DSP,
Bird takes flight_test,,,0,,None,0,False,False,15,None,None,None,None,deepak,deepak,2020-07-03 05:20:26.504235+00:00,2020-07-03 05:20:26.504229+00:00,deepak,Deepak Digimonk DSP,
Enroll Partner-1_test,,,0,,None,0,False,False,15,None,None,None,None,deepak,deepak,2020-07-03 05:20:26.526663+00:00,2020-07-03 05:20:26.526657+00:00,deepak,Deepak Digimonk DSP,
Bird takes flight-1_test,,,0,,None,0,False,False,15,None,None,None,None,deepak,deepak,2020-07-03 05:20:26.549368+00:00,2020-07-03 05:20:26.549361+00:00,deepak,Deepak Digimonk DSP,
Bird takes flight-2_test,,,0,,None,0,False,False,15,None,None,None,None,deepak,deepak,2020-07-03 05:20:26.572226+00:00,2020-07-03 05:20:26.572221+00:00,deepak,Deepak Digimonk DSP,
Bird takes flight-3_test,,,0,,None,0,False,False,15,None,None,None,None,deepak,deepak,2020-07-03 05:20:26.594537+00:00,2020-07-03 05:20:26.594532+00:00,deepak,Deepak Digimonk DSP,
Bird takes flight-5_test,,,0,,None,0,False,False,15,None,None,None,None,deepak,deepak,2020-07-03 05:20:26.619711+00:00,2020-07-03 05:20:26.619704+00:00,deepak,Deepak Digimonk DSP,
Eagle Soars_test,,,0,,None,0,False,False,15,None,None,None,None,deepak,deepak,2020-07-03 05:20:26.643488+00:00,2020-07-03 05:20:26.643483+00:00,deepak,Deepak Digimonk DSP,
Eagle Soars-1_test,,,0,,None,0,False,False,15,None,None,None,None,deepak,deepak,2020-07-03 05:20:26.666036+00:00,2020-07-03 05:20:26.666031+00:00,deepak,Deepak Digimonk DSP,
Eagle Soars-2_test,,,0,,None,0,False,False,15,None,None,None,None,deepak,deepak,2020-07-03 05:20:26.688510+00:00,2020-07-03 05:20:26.688505+00:00,deepak,Deepak Digimonk DSP,
Eagle Soars-3_test,,,0,,None,0,False,False,15,None,None,None,None,deepak,deepak,2020-07-03 05:20:26.710870+00:00,2020-07-03 05:20:26.710864+00:00,deepak,Deepak Digimonk DSP,
Bird takes flight-4_test,,,0,,None,0,False,False,15,None,None,None,None,deepak,deepak,2020-07-03 05:20:26.733191+00:00,2020-07-03 05:20:26.733186+00:00,deepak,Deepak Digimonk DSP,
dfvfgsd,dsfgvfgdsbv,,0,,None,0,True,False,15,13,Pending,Pending,deepak,deepak,deepak,2020-07-08 11:12:13.518802+00:00,2020-07-08 11:12:13.518791+00:00,deepak,Deepak Digimonk DSP,
dfvfgsd,dsfgvfgdsbv,,0,,None,0,True,False,15,13,Pending,Pending,deepak,deepak,deepak,2020-07-08 11:12:13.518802+00:00,2020-07-08 11:12:13.518791+00:00,deepak,Deepak Digimonk DSP,
dfvfgsd,dsfgvfgdsbv,,0,,None,0,True,False,15,13,Pending,Pending,deepak,deepak,deepak,2020-07-08 11:12:13.518802+00:00,2020-07-08 11:12:13.518791+00:00,deepak,Deepak Digimonk DSP,
dfvfgsd,dsfgvfgdsbv,,0,,None,0,True,False,15,13,Pending,Pending,deepak,deepak,deepak,2020-07-08 11:12:13.518802+00:00,2020-07-08 11:12:13.518791+00:00,deepak,Deepak Digimonk DSP,
Bird takes flight-4_test,,,0,,None,0,False,False,15,None,None,None,None,deepak,deepak,2020-07-03 05:20:26.733191+00:00,2020-07-03 05:20:26.733186+00:00,deepak,Deepak Digimonk DSP,
Bird takes flight-4_test,,,0,,None,0,False,False,15,None,None,None,None,deepak,deepak,2020-07-03 05:20:26.733191+00:00,2020-07-03 05:20:26.733186+00:00,deepak,Deepak Digimonk DSP,
dfvfgsd,dsfgvfgdsbv,,0,,None,0,True,False,15,13,Pending,Pending,deepak,deepak,deepak,2020-07-08 11:12:13.518802+00:00,2020-07-08 11:12:13.518791+00:00,deepak,Deepak Digimonk DSP,
dfvfgsd,dsfgvfgdsbv,,0,,None,0,True,False,15,13,Pending,Pending,deepak,deepak,deepak,2020-07-08 11:12:13.518802+00:00,2020-07-08 11:12:13.518791+00:00,deepak,Deepak Digimonk DSP,
dfvfgsd,dsfgvfgdsbv,,0,,None,0,True,False,15,13,Pending,Pending,deepak,deepak,deepak,2020-07-08 11:12:13.518802+00:00,2020-07-08 11:12:13.518791+00:00,deepak,Deepak Digimonk DSP,
