Benefits_id,Benefits_title,Benefits_description,Use_in,created_by,created_dt,updated_by,updated_dt
AR_BENEFITE_339,I can soar,(example),,jitendra,2020-07-10 11:22:03.828696+00:00,jitendra,2020-07-10 11:22:03.828698+00:00,digimomk
AR_BENEFITE_340,I can recieve an audit,(example),,jitendra,2020-07-10 11:22:03.850462+00:00,jitendra,2020-07-10 11:22:03.850466+00:00,digimomk
AR_BENEFITE_341,I can manage partners,(example),,jitendra,2020-07-10 11:22:03.872260+00:00,jitendra,2020-07-10 11:22:03.872262+00:00,digimomk
AR_BENEFITE_342,Benefit 1,(edit as needed),,jitendra,2020-07-10 11:22:03.893029+00:00,jitendra,2020-07-10 11:22:03.893031+00:00,digimomk
AR_BENEFITE_343,Benefit 2,(edit as needed),,jitendra,2020-07-10 11:22:03.913881+00:00,jitendra,2020-07-10 11:22:03.913884+00:00,digimomk
AR_BENEFITE_344,Benefit 3,(edit as needed),,jitendra,2020-07-10 11:22:03.935028+00:00,jitendra,2020-07-10 11:22:03.935031+00:00,digimomk
AR_BENEFITE_345,Benefit 4,(edit as needed),,jitendra,2020-07-10 11:22:03.955875+00:00,jitendra,2020-07-10 11:22:03.955878+00:00,digimomk
AR_BENEFITE_346,Benefit 5,(edit as needed),,jitendra,2020-07-10 11:22:03.976724+00:00,jitendra,2020-07-10 11:22:03.976726+00:00,digimomk
AR_BENEFITE_347,Benefit 6,(edit as needed),,jitendra,2020-07-10 11:22:03.998549+00:00,jitendra,2020-07-10 11:22:03.998553+00:00,digimomk
AR_BENEFITE_348,Benefit 7,(edit as needed),,jitendra,2020-07-10 11:22:04.019710+00:00,jitendra,2020-07-10 11:22:04.019713+00:00,digimomk
AR_BENEFITE_349,Benefit 8,(edit as needed),,jitendra,2020-07-10 11:22:04.040829+00:00,jitendra,2020-07-10 11:22:04.040832+00:00,digimomk
