title,story_tri_part_text,acceptance_criteria,ac_readability_score,conversation,backlog_parent,convo_readability_score,autoscoring_on,archive_indicator,readiness_quality_score,story_points,user_story_status,User_story_type,ar_user,owner,created_by,created_dt,updated_dt,updated_by,organization_name,attachments
None,,,0,,None,0,False,False,0,None,None,None,None,None,jitendra,2020-07-11 11:09:07.596229+00:00,2020-07-11 11:09:07.596219+00:00,jitendra,digimomk,
Enroll Partner,As a Partner Manager I want to enroll a qualified partner,,0,,None,0,False,False,53,None,Pending,None,None,jitendra,jitendra,2020-07-11 11:31:32.535552+00:00,2020-07-11 11:31:32.535547+00:00,jitendra,digimomk,
Disenroll Partner,As a proxy-test-partner-user I want to display so that I can recieve an audit,subject,36,subject,None,36,False,False,70,None,Pending,None,None,jitendra,jitendra,2020-07-11 11:31:33.398212+00:00,2020-07-11 11:31:33.398206+00:00,jitendra,digimomk,
Disenroll Partner-1,As a Eagle I want to glide so that I can manage partners,testing,36,,None,0,False,False,88,None,None,None,None,jitendra,jitendra,2020-07-11 11:31:33.847649+00:00,2020-07-11 11:31:33.847642+00:00,jitendra,digimomk,
Disenroll Partner-2,As a Partner Manager I require disenrollment so that I can manage partners,,0,,None,0,False,False,68,None,None,None,None,jitendra,jitendra,2020-07-11 11:31:33.879450+00:00,2020-07-11 11:31:33.879445+00:00,jitendra,digimomk,
Submit Rpt,As a proxy-test-partner-user I want to select a Type1 report so that I can send it,,0,,None,0,False,False,65,None,Pending,None,None,jitendra,jitendra,2020-07-11 11:31:33.911135+00:00,2020-07-11 11:31:33.911130+00:00,jitendra,digimomk,
Submit Rpt -1,As a proxy-test-partner-user I want to display available Type1 reports so that I can select which to review before sending,,0,,None,0,False,False,60,None,None,None,None,jitendra,jitendra,2020-07-11 11:31:33.942330+00:00,2020-07-11 11:31:33.942325+00:00,jitendra,digimomk,
Submit Rpt -2,As a proxy-test-partner-user I want to review all sent Type1 reports for a custom time period so that I can support an audit,,0,,None,0,False,False,60,None,Pending,None,None,jitendra,jitendra,2020-07-11 11:31:33.974224+00:00,2020-07-11 11:31:33.974219+00:00,jitendra,digimomk,
Submit Rpt -3,As a proxy-test-partner-user I want to review all sent Type1 reports for a custom time period so that I can receive an audit,,0,,None,0,False,False,60,None,None,None,None,jitendra,jitendra,2020-07-11 11:31:34.009671+00:00,2020-07-11 11:31:34.009666+00:00,jitendra,digimomk,
Bird takes flight,Bird,,0,,None,0,False,False,15,None,Pending,None,None,jitendra,jitendra,2020-07-11 11:31:34.045173+00:00,2020-07-11 11:31:34.045167+00:00,jitendra,digimomk,
Enroll Partner-1,As a Partner Manager I want to enroll a qualified partner so that I can access new FedReserve reporting screens,,0,,None,0,False,False,63,None,Pending,None,None,jitendra,jitendra,2020-07-11 11:31:34.076924+00:00,2020-07-11 11:31:34.076919+00:00,jitendra,digimomk,
Bird takes flight-1,As a Bird takes flight,,0,,None,0,False,False,30,None,None,None,None,jitendra,jitendra,2020-07-11 11:31:34.108116+00:00,2020-07-11 11:31:34.108111+00:00,jitendra,digimomk,
Bird takes flight-2,As a Bird I want to flap my wings,,0,,None,0,False,False,45,None,None,None,None,jitendra,jitendra,2020-07-11 11:31:34.139386+00:00,2020-07-11 11:31:34.139381+00:00,jitendra,digimomk,
Bird takes flight-3,As a Bird I want to flap my wings so that I can fly,,0,,None,0,False,False,55,None,None,None,None,jitendra,jitendra,2020-07-11 11:31:34.170419+00:00,2020-07-11 11:31:34.170413+00:00,jitendra,digimomk,
Bird takes flight-5,As a Bird I want to flap my wings so that I can fly and beyond that perform flips and dives and flock together with other  birds,,0,,None,0,False,False,50,None,Pending,None,None,jitendra,jitendra,2020-07-11 11:31:34.206125+00:00,2020-07-11 11:31:34.206120+00:00,jitendra,digimomk,
Eagle Soars,As an Eagle,,0,,None,0,False,False,40,None,Pending,None,None,jitendra,jitendra,2020-07-11 11:31:34.241567+00:00,2020-07-11 11:31:34.241562+00:00,jitendra,digimomk,
Eagle Soars-1,As an Eagle I want to glide,,0,,None,0,False,False,65,None,Pending,None,None,jitendra,jitendra,2020-07-11 11:31:34.273248+00:00,2020-07-11 11:31:34.273243+00:00,jitendra,digimomk,
Eagle Soars-2,As an Eagle I need to glide so that I can soar,,0,,None,0,False,False,80,None,None,None,None,jitendra,jitendra,2020-07-11 11:31:34.304427+00:00,2020-07-11 11:31:34.304422+00:00,jitendra,digimomk,
Eagle Soars-3,As an Eagle I want to glide so that I can soar and survey the lakes and mountains,,0,,None,0,False,False,75,None,None,None,None,jitendra,jitendra,2020-07-11 11:31:34.335527+00:00,2020-07-11 11:31:34.335522+00:00,jitendra,digimomk,
Bird takes flight-4,As a Bird I want to flap my wings so that I can fly and beyond that perform flips and dives,this is a statement that should receive a high readibility score,49,this is a statement that should receive a high readibility score,None,49,False,False,50,None,None,None,None,jitendra,jitendra,2020-07-11 11:31:35.175426+00:00,2020-07-11 11:31:35.175420+00:00,jitendra,digimomk,
BookMineDash,As a Role H (Member) I want to display so that Benefit 5,this is my first book looking this is my first book looking,116,this is my first book looking,Backlog One for P1 (example),116,True,False,80,3,Pending,Pending,jitendra,jitendra,jitendra,2020-07-13 05:47:10.479269+00:00,2020-07-13 05:47:10.479263+00:00,jitendra,digimomk,
