IterationName,owner,StartDate,EndDate,Description,Product,Backlog,UserStory,Team,IterationScore,IterationSize,create_by,create_dt,update_by,update_dt,IterationId,organization_name
Iteration 1 for Product P1,jitendra,2020-02-03,2020-02-14,An iteration (sprint) is a time interval or timebox that an agile team uses to perform software development work.,None,None,,FlexTeam (example),0,0,jitendra,2020-07-11 11:09:11.750051+00:00,jitendra,2020-07-11 11:09:11.750064+00:00,AR_ITER_338,digimomk
Iteration 2 for Product P1,jitendra,2020-02-17,2020-02-28,This is an example iteration for training purposes,None,None,,Team-T1 (example),0,0,jitendra,2020-07-11 11:09:11.778166+00:00,jitendra,2020-07-11 11:09:11.778179+00:00,AR_ITER_339,digimomk
Sprint 1 for Product P2,jitendra,2020-03-02,2020-03-13,This is an example iteration for training purposes,None,None,,None,0,0,jitendra,2020-07-11 11:09:11.805385+00:00,jitendra,2020-07-11 11:09:11.805397+00:00,AR_ITER_340,digimomk
Sprint 2 for Product P2,jitendra,2020-03-16,2020-03-27,This is an example iteration for training purposes,None,None,,None,0,0,jitendra,2020-07-11 11:09:11.832517+00:00,jitendra,2020-07-11 11:09:11.832529+00:00,AR_ITER_341,digimomk
Iteration 1 for BestEverM,jitendra,2020-03-02,2020-03-13,This is an example iteration for training purposes,None,None,,None,0,0,jitendra,2020-07-11 11:09:11.859572+00:00,jitendra,2020-07-11 11:09:11.859584+00:00,AR_ITER_342,digimomk
Iteration 2 for BestEverM,jitendra,2020-03-16,2020-03-27,This is an example iteration for training purposes,None,None,,None,0,0,jitendra,2020-07-11 11:09:11.886660+00:00,jitendra,2020-07-11 11:09:11.886672+00:00,AR_ITER_343,digimomk
Iteration 1 for API,jitendra,2020-03-16,2020-03-27,This is an example iteration for training purposes,None,None,,None,0,0,jitendra,2020-07-11 11:09:11.913785+00:00,jitendra,2020-07-11 11:09:11.913798+00:00,AR_ITER_344,digimomk
Iteration 2 for API,jitendra,2020-03-30,2020-04-10,This is an example iteration for training purposes,None,None,,None,0,0,jitendra,2020-07-11 11:09:11.941074+00:00,jitendra,2020-07-11 11:09:11.941086+00:00,AR_ITER_345,digimomk
Feb Cycle (1) for BestEverM,jitendra,2020-02-01,2020-02-28,For a Kanban Team a Cycle is a proxy iteration for tracking and organization purposes,None,None,,None,0,0,jitendra,2020-07-11 11:09:11.968109+00:00,jitendra,2020-07-11 11:09:11.968121+00:00,AR_ITER_346,digimomk
Mar Cycle (2) for BestEverM,jitendra,2020-03-01,2020-03-31,For a Kanban Team a Cycle is a proxy iteration for tracking and organization purposes,None,None,,None,0,0,jitendra,2020-07-11 11:09:11.995365+00:00,jitendra,2020-07-11 11:09:11.995377+00:00,AR_ITER_347,digimomk
