title,story_tri_part_text,acceptance_criteria,ac_readability_score,conversation,backlog_parent,convo_readability_score,autoscoring_on,archive_indicator,readiness_quality_score,story_points,user_story_status,User_story_type,ar_user,owner,created_by,created_dt,updated_dt,updated_by,organization_name,attachments
None,,,0,,None,0,False,False,0,None,None,None,None,None,Praveen,2020-07-10 11:03:52.031109+00:00,2020-07-10 11:03:52.031099+00:00,Praveen,Digimonk,
Enroll Partner,As a Partner Manager I want to enroll a qualified partner,,0,,Mmasters API Pilot (example),0,False,False,53,None,Pending,None,None,Praveen,Praveen,2020-07-10 11:03:53.438568+00:00,2020-07-10 11:03:53.438562+00:00,Praveen,Digimonk,
Disenroll Partner,As a proxy-test-partner-user I want to display so that I can recieve an audit,subject,36,subject,Mmasters API Pilot (example),36,False,False,70,None,Pending,None,None,Praveen,Praveen,2020-07-10 11:03:54.311418+00:00,2020-07-10 11:03:54.311412+00:00,Praveen,Digimonk,
Disenroll Partner-1,As a Eagle I want to glide so that I can manage partners,testing,36,,Mmasters API Pilot (example),0,False,False,88,None,None,None,None,Praveen,Praveen,2020-07-10 11:03:54.723185+00:00,2020-07-10 11:03:54.723179+00:00,Praveen,Digimonk,
Disenroll Partner-2,As a Partner Manager I require disenrollment so that I can manage partners,,0,,Mmasters API Pilot (example),0,False,False,68,None,None,None,None,Praveen,Praveen,2020-07-10 11:03:54.754467+00:00,2020-07-10 11:03:54.754462+00:00,Praveen,Digimonk,
Submit Rpt,As a proxy-test-partner-user I want to select a Type1 report so that I can send it,,0,,Mmasters API Pilot (example),0,False,False,65,None,Pending,None,None,Praveen,Praveen,2020-07-10 11:03:54.785379+00:00,2020-07-10 11:03:54.785374+00:00,Praveen,Digimonk,
Submit Rpt -1,As a proxy-test-partner-user I want to display available Type1 reports so that I can select which to review before sending,,0,,Mmasters API Pilot (example),0,False,False,60,None,None,None,None,Praveen,Praveen,2020-07-10 11:03:54.815703+00:00,2020-07-10 11:03:54.815698+00:00,Praveen,Digimonk,
Submit Rpt -2,As a proxy-test-partner-user I want to review all sent Type1 reports for a custom time period so that I can support an audit,,0,,Mmasters API Pilot (example),0,False,False,60,None,Pending,None,None,Praveen,Praveen,2020-07-10 11:03:54.846499+00:00,2020-07-10 11:03:54.846494+00:00,Praveen,Digimonk,
Submit Rpt -3,As a proxy-test-partner-user I want to review all sent Type1 reports for a custom time period so that I can receive an audit,,0,,Mmasters API Pilot (example),0,False,False,60,None,None,None,None,Praveen,Praveen,2020-07-10 11:03:54.876824+00:00,2020-07-10 11:03:54.876818+00:00,Praveen,Digimonk,
Bird takes flight,Bird,,0,,Backlog One for P1 (example),0,False,False,15,None,Pending,None,None,Praveen,Praveen,2020-07-10 11:03:54.907594+00:00,2020-07-10 11:03:54.907589+00:00,Praveen,Digimonk,
Enroll Partner-1,As a Partner Manager I want to enroll a qualified partner so that I can access new FedReserve reporting screens,,0,,Mmasters API Pilot (example),0,False,False,63,None,Pending,None,None,Praveen,Praveen,2020-07-10 11:03:54.938330+00:00,2020-07-10 11:03:54.938324+00:00,Praveen,Digimonk,
Bird takes flight-1,As a Bird takes flight,,0,,Backlog One for P1 (example),0,False,False,30,None,None,None,None,Praveen,Praveen,2020-07-10 11:03:54.968554+00:00,2020-07-10 11:03:54.968549+00:00,Praveen,Digimonk,
Bird takes flight-2,As a Bird I want to flap my wings,,0,,Backlog One for P1 (example),0,False,False,45,None,None,None,None,Praveen,Praveen,2020-07-10 11:03:54.998899+00:00,2020-07-10 11:03:54.998893+00:00,Praveen,Digimonk,
Bird takes flight-3,As a Bird I want to flap my wings so that I can fly,,0,,Backlog One for P1 (example),0,False,False,55,None,None,None,None,Praveen,Praveen,2020-07-10 11:03:55.029267+00:00,2020-07-10 11:03:55.029262+00:00,Praveen,Digimonk,
Bird takes flight-5,As a Bird I want to flap my wings so that I can fly and beyond that perform flips and dives and flock together with other  birds,,0,,Backlog One for P1 (example),0,False,False,50,None,Pending,None,None,Praveen,Praveen,2020-07-10 11:03:55.060079+00:00,2020-07-10 11:03:55.060074+00:00,Praveen,Digimonk,
Eagle Soars,As an Eagle,,0,,Backlog for P2 (example),0,False,False,40,None,Pending,None,None,Praveen,Praveen,2020-07-10 11:03:55.092225+00:00,2020-07-10 11:03:55.092220+00:00,Praveen,Digimonk,
Eagle Soars-1,As an Eagle I want to glide,,0,,Backlog for P2 (example),0,False,False,65,None,Pending,None,None,Praveen,Praveen,2020-07-10 11:03:55.123441+00:00,2020-07-10 11:03:55.123436+00:00,Praveen,Digimonk,
