Benefits_id,Benefits_title,Benefits_description,Use_in,created_by,created_dt,updated_by,updated_dt
AR_BENEFITE_328,I can soar,(example),,Praveen,2020-07-10 11:03:53.051780+00:00,Praveen,2020-07-10 11:03:53.051784+00:00,Digimonk
AR_BENEFITE_329,I can recieve an audit,(example),,Praveen,2020-07-10 11:03:53.073000+00:00,Praveen,2020-07-10 11:03:53.073003+00:00,Digimonk
AR_BENEFITE_330,I can manage partners,(example),,Praveen,2020-07-10 11:03:53.093823+00:00,Praveen,2020-07-10 11:03:53.093826+00:00,Digimonk
AR_BENEFITE_331,Benefit 1,(edit as needed),,Praveen,2020-07-10 11:03:53.114782+00:00,Praveen,2020-07-10 11:03:53.114785+00:00,Digimonk
AR_BENEFITE_332,Benefit 2,(edit as needed),,Praveen,2020-07-10 11:03:53.135825+00:00,Praveen,2020-07-10 11:03:53.135828+00:00,Digimonk
AR_BENEFITE_333,Benefit 3,(edit as needed),,Praveen,2020-07-10 11:03:53.158520+00:00,Praveen,2020-07-10 11:03:53.158524+00:00,Digimonk
AR_BENEFITE_334,Benefit 4,(edit as needed),,Praveen,2020-07-10 11:03:53.180783+00:00,Praveen,2020-07-10 11:03:53.180788+00:00,Digimonk
AR_BENEFITE_335,Benefit 5,(edit as needed),,Praveen,2020-07-10 11:03:53.202974+00:00,Praveen,2020-07-10 11:03:53.202979+00:00,Digimonk
AR_BENEFITE_336,Benefit 6,(edit as needed),,Praveen,2020-07-10 11:03:53.225149+00:00,Praveen,2020-07-10 11:03:53.225154+00:00,Digimonk
AR_BENEFITE_337,Benefit 7,(edit as needed),,Praveen,2020-07-10 11:03:53.247489+00:00,Praveen,2020-07-10 11:03:53.247494+00:00,Digimonk
